term,definition,context,id,last_review,next_review,interval,repetitions,ease_factor,status
endow … with …,赋予 / 天生具有,Nature has endowed her with a beautiful singing voice.,04707ba2-7e1b-4412-ae52-b7a292fc8ca7,,2026-01-04,0,0,2.5,new
affectation,做作 / 假装,I found his upper-class accent to be a bit of an affectation.,cf14615f-e6e7-4ad5-9541-495496bdb848,,2026-01-04,0,0,2.5,new
pantomime,哑剧,The actors used pantomime to tell the story without words.,f0f2ba2a-b072-4320-abc0-1f23eda34a53,,2026-01-04,0,0,2.5,new
courtship,求爱 / 追求,The book describes the long and traditional courtship of the couple.,c7d451b8-b561-4a79-83c3-a40153199637,,2026-01-04,0,0,2.5,new
keep … company,陪伴某人,My dog stays by my side to keep me company when I'm lonely.,5633a0ca-761c-4e5f-bc7d-5a9824f63666,,2026-01-04,0,0,2.5,new
rouse,唤醒 / 激起,The loud noise was enough to rouse the entire house.,8c34c99e-1db1-4e2b-9e1b-8e4fb51b4e83,,2026-01-04,0,0,2.5,new
come to one’s relief,给予安慰 / 使人松一口气,The arrival of the rescue team came to their great relief.,75ffdeed-3fed-46c9-a0be-03e870691d97,,2026-01-04,0,0,2.5,new
of yore,过去的 / 昔日的,In the days of yore,aaddf1a9-265b-4c13-ab7f-309f1638823c,,2026-01-04,0,0,2.5,new
take heart of grace,重新振作起来,He took heart of grace and decided to try one more time.,41245053-2c1b-4a66-9f8f-bcea9a765328,,2026-01-04,0,0,2.5,new
allegory,寓言 / 象征,The story is a political allegory about the rise of a dictator.,6eabea7b-9f96-40e7-89e2-74cb3adabee6,,2026-01-04,0,0,2.5,new
thereupon,随即 / 于是,He said goodbye and thereupon left the room.,06a5ad45-d56c-44df-9231-799abd5bfa5f,,2026-01-04,0,0,2.5,new
fret,使烦恼 / 焦急,Don't fret about the little things; focus on the big picture.,a7a66bf2-27a1-447e-a842-5f60c11d914f,,2026-01-04,0,0,2.5,new
flit,掠过 / 轻快地飞,Butterflies began to flit from flower to flower.,3ef9a563-e1ac-4899-b28b-a62ebc934ba7,,2026-01-04,0,0,2.5,new
protract,拖延 / 延长,The legal battle was protracted for several years.,e5e6fd8e-9580-45da-b5f3-abb6f35c3371,,2026-01-04,0,0,2.5,new
beckon,招手 / 召唤,The warm blue water seemed to beckon the tired travelers.,07352576-3725-44c2-afa2-3bf794582fce,,2026-01-04,0,0,2.5,new
vein,情绪 / 纹理 / 静脉,He continued the story in a much more serious vein.,95e649d3-0c25-41fc-84ae-ab59895d1398,,2026-01-04,0,0,2.5,new
sympathy,同情 / 共鸣,I have a lot of sympathy for people who have lost their jobs.,0a812659-2651-4180-b71b-2edb1e92d179,,2026-01-04,0,0,2.5,new
rejoice,因……而高兴 / 庆祝,Everyone rejoiced at the news of the victory.,4f5f03e9-3e55-4d41-8463-9601a1ef55da,,2026-01-04,0,0,2.5,new
revere,尊敬 / 崇敬,The old teacher was revered by all his former students.,1b1161e5-245b-4ad5-af2c-4ecdd66c390b,,2026-01-04,0,0,2.5,new
requiem,安魂曲 / 挽歌,The orchestra performed a moving requiem for the late king.,15853398-c82b-4bc2-b27b-ed160413e646,,2026-01-04,0,0,2.5,new
eat up,耗尽,The unexpected legal fees will eat up all our remaining budget.,effa4b57-803a-45e1-92bc-8ec9bfd632a3,,2026-01-04,0,0,2.5,new
gracious,亲切优雅,The hostess was very gracious to all her guests despite the late hour.,24211407-78eb-4552-b98d-86740b48d30f,,2026-01-04,0,0,2.5,new
disabuse,消除错误的念头,I must disabuse you of the idea that this project will be easy.,b9b75b51-62ce-4f24-9d2c-4d7582f9eba7,,2026-01-04,0,0,2.5,new
part company,分道扬镳,The two business partners parted company after a series of bitter arguments.,ba235881-05c5-4a80-9e08-fc39d37f851b,,2026-01-04,0,0,2.5,new
no hard feelings,没有怨恨,We decided to cancel the contract,5d47d39b-69b8-4d8f-bf9a-6c34e173c24d,,2026-01-04,0,0,2.5,new
overwork,使过度劳累,If you overwork yourself every day,835cb775-98f0-4030-9686-e02bc9ed9ef5,,2026-01-04,0,0,2.5,new
ego,自我 / 自负,He has a massive ego and finds it difficult to accept any criticism.,57e07e32-c22d-4927-b096-7c5e8c4c5d17,,2026-01-04,0,0,2.5,new
monetise,将……变为利润,The company is looking for creative ways to monetise its website traffic.,63a2d14c-eadb-42a0-b5f8-f43406391204,,2026-01-04,0,0,2.5,new
legitimate,合法的,The lawyer confirmed that it was a legitimate business expense.,ed9e965e-41c6-42b6-8f3b-26222da20b00,,2026-01-04,0,0,2.5,new
call upon,召唤 / 号召,The president called upon the citizens to help the disaster victims.,f5b52b5c-d80d-459e-b396-9969c1be6e47,,2026-01-04,0,0,2.5,new
circular,循环的 / 圆形的,The logic in his argument was circular and didn't prove anything.,c0a4f7f4-f70d-4fc5-8553-cdc4881f913f,,2026-01-04,0,0,2.5,new
equivalent,等价的 / 等价物,The cost of the repair is equivalent to about two months' salary.,028c1281-bfcc-4bd3-bc4d-7b1494b2ebae,,2026-01-04,0,0,2.5,new
think outside the box,跳出框框思考,We need to think outside the box to solve this unique marketing problem.,19834095-2ad5-483a-a78c-229a2a5e5e80,,2026-01-04,0,0,2.5,new
prudent,审慎的,It would be prudent to save some money for unexpected emergencies.,67e9247d-39e7-4b46-84fd-38c020ecb7a3,,2026-01-04,0,0,2.5,new
sort out … from …,挑选出 / 区分,It’s hard to sort out the facts from the rumors in this case.,cef008b8-654a-456e-8d00-64188f078ca2,,2026-01-04,0,0,2.5,new
early on,在早期,We realized early on that the project would require more funding.,e7f152f0-8747-4142-b42d-e87f06ef7a32,,2026-01-04,0,0,2.5,new
funnel,输送 / 漏斗,The money was funneled through several offshore accounts to avoid taxes.,53a981a7-6af2-4d7d-9fd3-77dad1a7f639,,2026-01-04,0,0,2.5,new
multifaceted,多方面的,The social issue is multifaceted and cannot be solved with one simple law.,9204daad-35ab-4dc6-912b-b8d89b5f7203,,2026-01-04,0,0,2.5,new
fine-grained,细致的 / 颗粒度细的,The study provides a fine-grained analysis of the consumer data.,f7b06efc-b228-497b-a6fd-27f35d1b8454,,2026-01-04,0,0,2.5,new
sloppy,马虎的,The report was full of mistakes because of his sloppy work habits.,e2d9ecc7-6367-4e6c-8345-78afa5f4a8dc,,2026-01-04,0,0,2.5,new
obnoxious,令人讨厌的,He is an obnoxious person who constantly interrupts others during meetings.,efa9d4bb-842c-4788-a7e5-f6b0c7f10b50,,2026-01-04,0,0,2.5,new
incentive,刺激 / 动力 / 诱因,The company offered a bonus as an incentive for employees to work harder.,cb305971-d264-4563-acde-db204579c5c7,,2026-01-04,0,0,2.5,new
reflective,沉思的 / 反映的,He was in a reflective mood after attending the graduation ceremony.,fd869191-03c2-4bfd-a5c2-e73c5cf97343,,2026-01-04,0,0,2.5,new
end up doing,最终变成 / 做了,If you don't start saving now,1c4c561c-ca78-41eb-b8b8-c1dee774a561,,2026-01-04,0,0,2.5,new
disparate,迥然不同的,The team is made up of individuals from very disparate backgrounds.,03208856-4068-450a-a6bb-096efe7cc074,,2026-01-04,0,0,2.5,new
bring … into line,使……符合标准 / 一致,The new regulations aim to bring the local laws into line with national standards.,a75625c1-f98d-428d-a617-e1390b4f1dcd,,2026-01-04,0,0,2.5,new
deviate,偏离 / 背离,Do not deviate from the safety procedures under any circumstances.,45c2f7d2-731a-4e93-8cde-03859e54d124,,2026-01-04,0,0,2.5,new
on the same page,意见一致,Before we start the project,003bf09f-6de1-47be-9e34-a942449a2e2b,,2026-01-04,0,0,2.5,new
rigorous,严密的 / 严格的,The theory was subjected to rigorous testing by several independent labs.,ede08d8e-c2a4-477f-a502-845bc596d618,,2026-01-04,0,0,2.5,new
meritocratic,精英主义的 / 唯才是举的,They advocate for a meritocratic system where talent is the only key to success.,c48bbc86-1f28-4949-bdac-bd13decc35cf,,2026-01-04,0,0,2.5,new
cohort,一批 / 同期 / 步兵大队,This year's cohort of graduates is the largest in the school's history.,4d8c2f0a-bfd9-4800-a8c1-1f4665d08588,,2026-01-04,0,0,2.5,new
aviation ~ avian,航空 vs 鸟类的,He works in the aviation industry,c1807aec-1d00-4872-9edc-3623788a3e9b,,2026-01-04,0,0,2.5,new
memo ~ memorandum,备忘录 / 正式文件,The manager sent a brief memo to all staff about the upcoming holiday.,62fc502d-e198-49e8-89f9-5161ab0f3d5d,,2026-01-04,0,0,2.5,new
selective ~ selectivity,选择性的 / 选择性,The university is highly selective,24e9b6f4-b837-43ae-b7c9-4f7194f2cb0c,,2026-01-04,0,0,2.5,new
correlate with,与……相关联,High stress levels often correlate with poor sleep quality.,4af12937-aa6c-4c1d-93af-4d49b228ab3b,,2026-01-04,0,0,2.5,new
give out (a degree),授予（学位） / 分发,The university will give out honorary degrees to three distinguished scientists.,763fabc1-88ae-4d58-91db-c515f021af27,,2026-01-04,0,0,2.5,new
shrink,缩小 / 萎缩,The market for print newspapers continues to shrink every year.,c4d653e5-618d-43af-be67-7de9bf9dbad8,,2026-01-04,0,0,2.5,new
credential,资历证明,You will need to present your credentials before entering the research facility.,7f6a6727-f110-4120-943f-b1fe99193877,,2026-01-04,0,0,2.5,new
signify,表明 / 预示,A red light on the dashboard signifies a problem with the engine.,c8dfa0ca-5cf6-41e9-b90b-ce8b768bc65e,,2026-01-04,0,0,2.5,new
sector,部门 / 行业 / 领域,He has worked in the financial sector for over twenty years.,ac8da835-f9f6-4ef2-b10c-4906c6d8d7ec,,2026-01-04,0,0,2.5,new
curriculum,课程大纲,The school is introducing a new coding course to its curriculum next year.,b1322d20-c99e-47c6-bb40-fa933f6f5cfc,,2026-01-04,0,0,2.5,new
prerequisite,先决条件,Completing the introductory course is a prerequisite for the advanced class.,25083eb9-d237-4c1b-8b38-36ebd08b8c47,,2026-01-04,0,0,2.5,new
wither away,枯萎 / 逐渐消失,Without constant maintenance,4f3a716e-7fff-42b3-9209-75dabef63f66,,2026-01-04,0,0,2.5,new
disengage,抽身 / 脱离,The country is trying to disengage from the long-standing border conflict.,4f9dac6c-298e-4e8b-8849-131cbb6c8169,,2026-01-04,0,0,2.5,new
heterogeneous,异质的 / 多样化的,The population of the city is highly heterogeneous and culturally diverse.,493f421c-2ed3-4c15-b917-1473ffa0d8f6,,2026-01-04,0,0,2.5,new
motive ~ motivate ~ motivation,动机 / 激励 / 积极性,What was his primary motive for choosing this difficult career path?,f1165b39-6476-4c07-9e1a-9387a0954d32,,2026-01-04,0,0,2.5,new
come to an end,结束 / 终止,The long and exhausting meeting finally came to an end at midnight.,b300caec-5bc9-4218-a411-808e5e719438,,2026-01-04,0,0,2.5,new
co-education,男女同校,The school transitioned to co-education in the late 1970s.,9db3a7e9-1e2c-4461-bf97-4a20ab8d7a2d,,2026-01-04,0,0,2.5,new
diverse ~ diversify ~ diversity,多样性 / 使多样化,The city is celebrated for its incredible cultural diversity.,4b416e35-c549-4fc9-a993-6a305a07e5cb,,2026-01-04,0,0,2.5,new
vet,退伍军人,The organization provides housing assistance for homeless vets.,d33ac2ed-680e-415f-9203-c1a20353fec3,,2026-01-04,0,0,2.5,new
segregate,隔离 / 使分开,In the past,7a7c203b-2c23-48ae-9446-49c037d43f4a,,2026-01-04,0,0,2.5,new
transformational,变革性的,The new leadership had a transformational effect on the company's culture.,46a1655d-069f-4de2-b725-17e6c797f9e0,,2026-01-04,0,0,2.5,new
jaded,厌倦 / 疲惫的,She felt jaded after years of working in the same repetitive job.,7db2919e-6aae-4d2c-aa66-f7a14a1cfefa,,2026-01-04,0,0,2.5,new
shuffle,洗牌 / 拖着脚走,The old man shuffled slowly across the room in his slippers.,2285a69b-1d2c-467e-aa1a-715cd61b0e49,,2026-01-04,0,0,2.5,new
patriarch ~ patriarchal ~ patriarchy,父权制 / 家长,The novel explores the difficulties of living in a strictly patriarchal society.,dd734343-7a52-43b1-9397-2d28766cac85,,2026-01-04,0,0,2.5,new
oppress ~ oppression,压迫,The regime was criticized for its efforts to oppress political dissidents.,c4446066-e866-4681-8b87-2a58a26e931c,,2026-01-04,0,0,2.5,new
repress,克制 / 镇压,He tried hard to repress a smile during the serious presentation.,24124a8a-d48e-4b55-876d-e55ff99f680b,,2026-01-04,0,0,2.5,new
postmodernism,后现代主义,The building is a famous example of postmodernism in modern architecture.,644418fd-6e0f-4f5b-a585-a74d656842a3,,2026-01-04,0,0,2.5,new
strike a chord with,引起共鸣,The singer's lyrics about loneliness strike a chord with many teenagers.,cf8c6770-8027-40e0-9814-d1f96d0ec8cb,,2026-01-04,0,0,2.5,new
sit up,坐起来 / 引起注意,The news of the discovery made the whole scientific world sit up.,3ea3857a-af3f-469c-ba74-ebd8a99a3d7c,,2026-01-04,0,0,2.5,new
blasé,无动于衷的 / 玩世不恭的,He was quite blasé about his success,a948b2d3-b74e-46e2-a80c-bf71cb67c80c,,2026-01-04,0,0,2.5,new
literati,文人 / 知识界,The book launch was attended by the local literati and famous artists.,d01d5c34-9f3c-4e72-a374-045e583726bd,,2026-01-04,0,0,2.5,new
self-conscious,过于意识到自我的,He felt very self-conscious about the stain on his tie during the interview.,5f31a024-9fb6-4651-a620-4126557b385b,,2026-01-04,0,0,2.5,new
parody ~ parodic,模仿 / 恶搞,The movie is a hilarious parody of classic detective films.,e6dbed70-fac9-4139-8cce-1bb4ab80482e,,2026-01-04,0,0,2.5,new
menacing,威胁的 / 险恶的,There was a menacing tone in his voice when he made the demand.,b768a7f3-331b-447f-a2ef-332dd2bd85c2,,2026-01-04,0,0,2.5,new
ascend ~ ascent ~ ascendance,上升 / 攀登 / 支配,The hikers began their long ascent up the mountain at dawn.,05b3a5cf-bfe7-4c84-9850-c909918e6d60,,2026-01-04,0,0,2.5,new
come up with,想出 / 提出,She came up with a brilliant solution to the technical problem.,293c7e01-304d-4182-b623-7ef8e748d220,,2026-01-04,0,0,2.5,new
reticent,沉默的 / 寡言的,He is very reticent about his private life and rarely talks about his family.,38962c39-e10d-4e96-99d0-4fae258983f5,,2026-01-04,0,0,2.5,new
speak to (a subject),与……相关 / 探讨,The recent data speaks to the urgent need for better environmental laws.,cdbc46ac-afaa-4828-a323-f470e06670f4,,2026-01-04,0,0,2.5,new
critic ~ critique ~ criticism,评论 / 批评,The film critic praised the director's bold new vision.,9f0482f2-d9b7-4957-b672-025fdff97f25,,2026-01-04,0,0,2.5,new
overturn,推翻 / 颠覆,The Supreme Court eventually overturned the controversial ruling.,f7112138-3a63-45a6-bac5-3b9043d93740,,2026-01-04,0,0,2.5,new
topple,使倾倒 / 推翻,The protesters gathered in the square to topple the statue of the dictator.,d5c103a9-f980-401c-b9cd-72944b94f6d2,,2026-01-04,0,0,2.5,new
take to (the street),走上街头,Thousands of people took to the streets to protest the unfair tax.,61d795f1-e46e-41d4-9fe1-df726046a11e,,2026-01-04,0,0,2.5,new
without so much as,连……都没有,He left the party without so much as a goodbye to the host.,d3e4ce77-26e4-44bb-9c16-dec8990a313f,,2026-01-04,0,0,2.5,new
rationale,基本原理 / 根本原因,What is the rationale behind the company's decision to move its factory?,f20c7fda-2208-40af-84ff-1e3b9ca7d8a8,,2026-01-04,0,0,2.5,new
sign away,签署放弃,He signed away his rights to the invention for a small sum of money.,b0956932-9480-400f-87d0-d432b316afe0,,2026-01-04,0,0,2.5,new
desegregation,废除种族隔离,The city was a key battleground in the fight for school desegregation.,dd35130e-02ae-4ef9-9ca6-4e1fe9ec26f6,,2026-01-04,0,0,2.5,new
sit back,靠后坐 / 袖手旁观,We cannot just sit back and watch while the environment is destroyed.,ccfe6e8c-3935-46df-a30f-a63764d45781,,2026-01-04,0,0,2.5,new
carnage,大屠杀 / 残杀,The scene of the car accident was one of terrible carnage.,bf8e2c49-0f3a-4436-ae5c-50fe3bdb7228,,2026-01-04,0,0,2.5,new
sport (v.),炫耀地穿着 / 穿戴,He was sporting a new designer watch that he bought in Paris.,7d86e639-4718-4188-a8af-114338128578,,2026-01-04,0,0,2.5,new
petition,请愿书 / 请愿,The residents started a petition against the construction of the new mall.,65c300d4-3432-4a0c-a81e-aaa226d64f4a,,2026-01-04,0,0,2.5,new
overarching,包罗万象的 / 首要的,The overarching theme of the conference was global sustainability.,eaaeeb4c-7dea-4b2b-9907-0660bba10c2c,,2026-01-04,0,0,2.5,new
narcissism,自恋,Many experts worry that social media is fueling a rise in narcissism.,e1eba8aa-553b-4678-aca6-8ff31fedc3cf,,2026-01-04,0,0,2.5,new
nihilism,虚无主义,The character's destructive behavior is driven by a sense of deep nihilism.,3de7bb84-05a8-4f1f-8e3b-88d638c47e6d,,2026-01-04,0,0,2.5,new
might as well,不妨 / 还是……好,Since we are already here,6f8e9448-d808-41a9-a539-d62c9028f767,,2026-01-04,0,0,2.5,new
trite,陈旧的 / 平淡无味的,The plot of the movie was a bit trite and very predictable.,71ecf003-f1e9-4f27-83c5-b740fe08c5dc,,2026-01-04,0,0,2.5,new
bland,平淡无味的 / 乏味的,The sauce was a bit bland and needed more spices to be interesting.,3a007acd-e4cf-4b25-8f63-c564496632de,,2026-01-04,0,0,2.5,new
pastiche,模仿作品 / 拼凑物,The film is a clever pastiche of several 1950s sci-fi movies.,fd6b037c-37ac-4d6e-b28c-ab558ecb9309,,2026-01-04,0,0,2.5,new
set in,固定 / 开始并持续,A feeling of deep disappointment began to set in after the loss.,5afd5ff9-2ea7-4a9d-b6c3-a824fc1e2006,,2026-01-04,0,0,2.5,new
envision,想象 / 展望,I can envision a world where technology solves most medical problems.,7f44d7c0-08ab-4b74-858f-6b3594ae6652,,2026-01-04,0,0,2.5,new
cliché,陈词滥调,"It’s a cliché to say that ""hard work always pays off",6337ec8f-acb2-4347-863b-063031403100,,2026-01-04,0,0,2.5,new
perfunctory,草率的 / 敷衍的,He gave the guest a perfunctory nod before returning to his book.,500e4499-c461-4c31-82ce-9945c70acce0,,2026-01-04,0,0,2.5,new
culminate,达到顶点 / 以……告终,The months of training will culminate in the national championship.,f313a3a1-5cf4-4224-91e3-f1dc0f657329,,2026-01-04,0,0,2.5,new
speak our minds,直言不讳,We encourage all our employees to speak their minds during meetings.,97558f23-cff2-46d7-bbed-ea4ac49ecde4,,2026-01-04,0,0,2.5,new
agitate,鼓动 / 搅动 / 焦虑,The activists were agitating for better pay and safer working conditions.,887c85df-37a4-4e0b-bef4-404d091c8f4f,,2026-01-04,0,0,2.5,new
nostalgic,怀旧的,Looking through my childhood photo album made me feel very nostalgic.,78c732d1-711c-4d97-9c55-a41144ba80b4,,2026-01-04,0,0,2.5,new
defunct,已经停用的 / 已死的,The old factory has been defunct for more than twenty years.,1427f0d1-51b4-4783-a55c-e3b178fc656f,,2026-01-04,0,0,2.5,new
channel … into …,向……输送 / 引导,The government is channeling more resources into rural healthcare.,7bc2c588-aa56-4c00-a22f-39e6639b2569,,2026-01-04,0,0,2.5,new
alternate ~ alternative,轮流的 / 替代的,We can take an alternative route if the highway is blocked.,78dede08-aeec-4a45-9150-0a3f753aa06d,,2026-01-04,0,0,2.5,new
radicalism,激进主义,The economic crisis led to a sudden rise in political radicalism.,bb936517-9b25-442f-a1d7-26e7a9f8ca99,,2026-01-04,0,0,2.5,new
come together,聚集 / 团结 / 成功,People from all over the country came together to support the cause.,52ee5950-9604-4070-9e82-69e278490894,,2026-01-04,0,0,2.5,new
